target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,IE,2026-03-29,2,quantile,0.2,5.543545838636454,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.2,5.199829430705889,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.2,4.444709938201173,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.25,5.604957127160249,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.25,5.974848302138101,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.25,5.352029905392731,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.25,5.386111794784213,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.3,5.740954179372518,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.3,6.070233851348204,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.3,5.87802735777974,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.3,5.505244910097022,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.35,5.882651948588368,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.35,6.284400475129252,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.35,6.012372786025814,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.35,5.628572087572614,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.4,6.033433911399362,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.4,6.50159237533548,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.4,6.074086783415896,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.4,5.727386602758645,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.45,6.215647076987855,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.45,6.65636313713798,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.45,6.138100592293076,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.45,5.802742694516462,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.5,6.306824864409231,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.5,6.784908891563975,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.5,6.19741998586633,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.5,5.860456927619511,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.55,6.375648397969069,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.55,6.839875165434254,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.55,6.25551183872313,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.55,6.144382999413479,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.6,6.450020227952066,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.6,6.89316340707493,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.6,6.31574490536109,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.6,6.23136411654263,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.65,6.559340360762615,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.65,7.012993278335277,2026-03-25
