target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,NO,2026-03-29,2,quantile,0.01,0.023321016910244134,2026-03-25
ILI incidence,NO,2026-04-05,3,quantile,0.01,4.703467382852058,2026-03-25
ILI incidence,NO,2026-04-12,4,quantile,0.01,0.0,2026-03-25
ILI incidence,NO,2026-03-22,1,quantile,0.025,15.365427126577094,2026-03-25
ILI incidence,NO,2026-03-29,2,quantile,0.025,13.467634456897999,2026-03-25
ILI incidence,NO,2026-04-05,3,quantile,0.025,15.071696510337599,2026-03-25
ILI incidence,NO,2026-04-12,4,quantile,0.025,10.958410049946036,2026-03-25
ILI incidence,NO,2026-03-22,1,quantile,0.05,22.830150819229505,2026-03-25
ILI incidence,NO,2026-03-29,2,quantile,0.05,23.416612282826566,2026-03-25
ILI incidence,NO,2026-04-05,3,quantile,0.05,21.582288207225652,2026-03-25
ILI incidence,NO,2026-04-12,4,quantile,0.05,18.89841598807336,2026-03-25
ILI incidence,NO,2026-03-22,1,quantile,0.1,34.11950740270093,2026-03-25
ILI incidence,NO,2026-03-29,2,quantile,0.1,33.53936995802786,2026-03-25
ILI incidence,NO,2026-04-05,3,quantile,0.1,32.55759066247028,2026-03-25
ILI incidence,NO,2026-04-12,4,quantile,0.1,27.56334733282679,2026-03-25
ILI incidence,NO,2026-03-22,1,quantile,0.15,41.05103501836133,2026-03-25
ILI incidence,NO,2026-03-29,2,quantile,0.15,41.63099589322596,2026-03-25
ILI incidence,NO,2026-04-05,3,quantile,0.15,41.36877073641133,2026-03-25
ILI incidence,NO,2026-04-12,4,quantile,0.15,34.64858205973624,2026-03-25
ILI incidence,NO,2026-03-22,1,quantile,0.2,45.60779875550957,2026-03-25
ILI incidence,NO,2026-03-29,2,quantile,0.2,46.07701258341516,2026-03-25
ILI incidence,NO,2026-04-05,3,quantile,0.2,46.76952096847093,2026-03-25
ILI incidence,NO,2026-04-12,4,quantile,0.2,39.000108020039995,2026-03-25
ILI incidence,NO,2026-03-22,1,quantile,0.25,50.4788670414839,2026-03-25
ILI incidence,NO,2026-03-29,2,quantile,0.25,51.73798363564238,2026-03-25
ILI incidence,NO,2026-04-05,3,quantile,0.25,50.704994805654025,2026-03-25
ILI incidence,NO,2026-04-12,4,quantile,0.25,43.5956162685514,2026-03-25
ILI incidence,NO,2026-03-22,1,quantile,0.3,55.18629314487232,2026-03-25
ILI incidence,NO,2026-03-29,2,quantile,0.3,56.23046331105467,2026-03-25
ILI incidence,NO,2026-04-05,3,quantile,0.3,55.71507826580372,2026-03-25
